iter	Logloss
0	0.6802621219
1	0.6671961848
2	0.6554146916
3	0.6444328549
4	0.6321796808
5	0.6219217479
6	0.6119550697
7	0.6036889486
8	0.595006611
9	0.5869104024
10	0.5782919522
11	0.571092044
12	0.5636706201
13	0.5554574653
14	0.5497764323
15	0.5426051601
16	0.535660006
17	0.5302862155
18	0.5252584699
19	0.5201299501
20	0.5147021893
21	0.509962421
22	0.5058302561
23	0.5007573443
24	0.4963672937
25	0.4925154763
26	0.4886021785
27	0.4841690345
28	0.4803890309
29	0.4765033644
30	0.473470851
31	0.4706049254
32	0.4678616641
33	0.4656005543
34	0.4627322326
35	0.4600278459
36	0.4573270592
37	0.4547062275
38	0.4524409436
39	0.4501400548
40	0.4474993853
41	0.4456037024
42	0.4440071524
43	0.4424027687
44	0.4401316227
45	0.4374546027
46	0.4360010833
47	0.4334588399
48	0.4317742151
49	0.4300004472
50	0.4278099524
51	0.4260114146
52	0.4245912257
53	0.4225866157
54	0.4208961876
55	0.4192244045
56	0.4176669013
57	0.4166059042
58	0.4148588796
59	0.4136080035
60	0.4121122821
61	0.4108541097
62	0.409763955
63	0.4086697419
64	0.407217382
65	0.4059132521
66	0.4045994807
67	0.4035930107
68	0.4025465496
69	0.4013436238
70	0.4000662164
71	0.3990937643
72	0.3982564047
73	0.3972133088
74	0.3961052008
75	0.3949644362
76	0.3940364041
77	0.3929017972
78	0.3920008613
79	0.3912781627
80	0.3904330993
81	0.3894739841
82	0.3880833016
83	0.3871137954
84	0.3864266552
85	0.3856555675
86	0.3847542081
87	0.3839938913
88	0.3827332983
89	0.3821088582
90	0.38104412
91	0.3797998991
92	0.3790665815
93	0.3780342872
94	0.3771526162
95	0.3763786104
96	0.3754540502
97	0.3747596491
98	0.3744024947
99	0.3733762965
100	0.3724034477
101	0.3719770439
102	0.3713716325
103	0.3709003576
104	0.3704629133
105	0.3697455383
106	0.3690519925
107	0.3680247088
108	0.3670634591
109	0.3665638978
110	0.3659412601
111	0.3655563082
112	0.3649926711
113	0.3644626643
114	0.3639996784
115	0.3636562693
116	0.3629901848
117	0.3625433669
118	0.3622062293
119	0.3616366661
120	0.3612264086
121	0.3608675529
122	0.3602670369
123	0.3596026604
124	0.3591278647
125	0.3585822758
126	0.3579447181
127	0.3574607045
128	0.3569711397
129	0.3565471094
130	0.3560324322
131	0.3556134464
132	0.3552901214
133	0.3547720914
134	0.3542696375
135	0.3538735244
136	0.3531552536
137	0.3528594545
138	0.3524480953
139	0.3522187706
140	0.3518183419
141	0.3515799605
142	0.3509717742
143	0.3504889576
144	0.3499087696
145	0.3497329527
146	0.3492023094
147	0.3488084067
148	0.3484147258
149	0.3480427021
150	0.3473195317
151	0.3469167661
152	0.3465628055
153	0.3460118548
154	0.3455903
155	0.344970221
156	0.3443297197
157	0.3435930907
158	0.3432832109
159	0.342725512
160	0.3424808782
161	0.3422244182
162	0.3417654559
163	0.3414609463
164	0.3412967313
165	0.3411656737
166	0.3409323205
167	0.34047884
168	0.3396297421
169	0.3391631485
170	0.3388996551
171	0.3387071423
172	0.338289479
173	0.338101774
174	0.3378044672
175	0.3375186171
176	0.3369827007
177	0.3367123235
178	0.336567907
179	0.3359570839
180	0.3354397657
181	0.3351588747
182	0.3349081996
183	0.3346759316
184	0.3344217848
185	0.334183688
186	0.3339621758
187	0.333726023
188	0.3335287872
189	0.3333133132
190	0.3332111679
191	0.3326880802
192	0.3322787194
193	0.3319296215
194	0.3317083244
195	0.331393432
196	0.3311341629
197	0.3306851367
198	0.3304213075
199	0.3302216271
200	0.3300532044
201	0.3298956173
202	0.3295903864
203	0.3293073372
204	0.3292001239
205	0.3289801235
206	0.3286593233
207	0.3284674781
208	0.3281901453
209	0.3279393407
210	0.327775843
211	0.3274680592
212	0.3273142329
213	0.3270718755
214	0.3267990952
215	0.3266558632
216	0.3265807446
217	0.3263250201
218	0.3261126999
219	0.3258015087
220	0.3255877709
221	0.3253905296
222	0.325164522
223	0.3249559522
224	0.3246461728
225	0.3244319213
226	0.3241602881
227	0.3239624028
228	0.3236589107
229	0.3234410849
230	0.3233035719
231	0.3230035259
232	0.3228340887
233	0.3226803129
234	0.3225089791
235	0.3223512222
236	0.3221641184
237	0.3220321346
238	0.32190334
239	0.3217423207
240	0.3216359045
241	0.3214326094
242	0.3213000982
243	0.3210119161
244	0.3208167583
245	0.3206702184
246	0.3205991636
247	0.3203050085
248	0.320050106
249	0.3197835447
250	0.3195391897
251	0.3193597367
252	0.3192282184
253	0.3190790732
254	0.3189368945
255	0.3187145453
256	0.3185424875
257	0.31828779
258	0.3179293942
259	0.3178462442
260	0.3175706468
261	0.3173773211
262	0.3171776168
263	0.3168645739
264	0.3166331762
265	0.3164400829
266	0.3162677514
267	0.3159993526
268	0.3158235192
269	0.3156127083
270	0.3153247221
271	0.3150889651
272	0.3150069728
273	0.3148968215
274	0.3147525175
275	0.3146322702
276	0.3143996818
277	0.3141789875
278	0.3139764496
