iter	Passed	Remaining
0	10	10956
1	21	10703
2	29	9829
3	38	9601
4	47	9427
5	55	9173
6	63	9078
7	73	9169
8	82	9043
9	91	9094
10	100	9075
11	108	8973
12	117	8894
13	126	8887
14	136	8941
15	144	8873
16	152	8806
17	161	8820
18	169	8755
19	177	8709
20	187	8722
21	196	8751
22	205	8741
23	215	8749
24	223	8708
25	231	8670
26	239	8645
27	249	8677
28	258	8652
29	267	8650
30	276	8649
31	285	8632
32	295	8668
33	305	8678
34	315	8694
35	326	8750
36	336	8745
37	344	8733
38	353	8714
39	361	8681
40	370	8674
41	380	8677
42	388	8646
43	399	8684
44	410	8711
45	420	8729
46	430	8737
47	440	8738
48	449	8730
49	459	8732
50	468	8714
51	476	8688
52	486	8691
53	497	8709
54	505	8689
55	515	8697
56	524	8678
57	534	8683
58	543	8660
59	551	8638
60	559	8612
61	569	8615
62	578	8597
63	585	8568
64	595	8561
65	604	8549
66	612	8531
67	622	8536
68	630	8512
69	639	8494
70	658	8617
71	667	8597
72	676	8587
73	685	8580
74	694	8568
75	703	8547
76	711	8528
77	719	8501
78	727	8483
79	736	8473
80	745	8455
81	753	8437
82	761	8417
83	772	8419
84	781	8410
85	791	8413
86	801	8407
87	810	8402
88	821	8405
89	829	8392
90	839	8390
91	849	8387
92	860	8396
93	870	8391
94	880	8386
95	889	8378
96	898	8361
97	906	8344
98	913	8314
99	920	8286
100	929	8275
101	937	8253
102	946	8239
103	954	8221
104	963	8208
105	971	8190
106	979	8171
107	986	8149
108	994	8132
109	1002	8108
110	1010	8097
111	1018	8078
112	1026	8058
113	1035	8045
114	1043	8032
115	1051	8010
116	1060	8003
117	1068	7984
118	1074	7958
119	1083	7942
120	1091	7930
121	1100	7918
122	1107	7895
123	1115	7881
124	1124	7868
125	1131	7845
126	1139	7835
127	1147	7814
128	1153	7791
129	1161	7774
130	1169	7758
131	1177	7741
132	1185	7729
133	1194	7720
134	1202	7708
135	1210	7692
136	1219	7684
137	1227	7669
138	1236	7656
139	1243	7639
140	1252	7628
141	1261	7622
142	1272	7628
143	1284	7636
144	1296	7643
145	1310	7664
146	1324	7682
147	1338	7706
148	1348	7702
149	1357	7694
150	1369	7700
151	1379	7694
152	1387	7680
153	1396	7670
154	1404	7657
155	1414	7653
156	1422	7639
157	1429	7620
158	1437	7604
159	1445	7587
160	1453	7575
161	1461	7559
162	1468	7541
163	1477	7529
164	1485	7517
165	1493	7502
166	1501	7488
167	1509	7474
168	1516	7459
169	1523	7439
170	1532	7429
171	1539	7412
172	1547	7396
173	1555	7386
174	1563	7372
175	1571	7358
176	1580	7347
177	1588	7336
178	1595	7317
179	1602	7301
180	1610	7289
181	1619	7276
182	1625	7258
183	1633	7246
184	1642	7234
185	1650	7223
186	1659	7212
187	1666	7197
188	1674	7184
189	1682	7173
190	1691	7166
191	1701	7159
192	1709	7147
193	1718	7140
194	1729	7139
195	1738	7131
196	1748	7128
197	1757	7119
198	1766	7111
199	1775	7103
200	1785	7097
201	1792	7083
202	1802	7075
203	1811	7069
204	1821	7063
205	1831	7058
206	1838	7043
207	1846	7031
208	1855	7021
209	1865	7019
210	1874	7010
211	1884	7005
212	1894	6998
213	1903	6991
214	1914	6990
215	1923	6980
216	1931	6968
217	1941	6963
218	1949	6952
219	1957	6940
220	1967	6936
221	1976	6928
222	1985	6918
223	1996	6915
224	2004	6905
225	2012	6894
226	2022	6886
227	2031	6877
228	2039	6866
229	2049	6862
230	2058	6851
231	2066	6841
232	2075	6832
233	2083	6820
234	2091	6807
235	2099	6798
236	2110	6795
237	2118	6782
238	2127	6773
239	2136	6765
240	2146	6760
241	2154	6749
242	2164	6743
243	2173	6733
244	2182	6725
245	2192	6720
246	2200	6709
247	2208	6697
248	2219	6694
249	2230	6690
250	2241	6688
251	2249	6676
252	2257	6666
253	2267	6659
254	2276	6649
255	2284	6638
256	2292	6626
257	2302	6622
258	2312	6614
259	2322	6610
260	2332	6603
261	2342	6597
262	2351	6590
263	2360	6581
264	2369	6571
265	2377	6560
266	2387	6554
267	2396	6544
268	2404	6534
269	2413	6525
270	2422	6515
271	2432	6510
272	2443	6506
273	2452	6498
274	2462	6492
275	2472	6485
276	2480	6475
277	2491	6470
278	2499	6458
279	2507	6447
280	2518	6443
281	2525	6430
282	2533	6419
283	2542	6409
284	2552	6404
285	2560	6392
286	2569	6383
287	2578	6375
288	2587	6365
289	2596	6355
290	2604	6344
291	2612	6335
292	2621	6325
293	2630	6317
294	2640	6309
295	2648	6300
296	2658	6291
297	2665	6279
298	2674	6270
299	2684	6263
300	2692	6252
301	2700	6241
302	2710	6234
303	2724	6237
304	2734	6230
305	2742	6220
306	2751	6210
307	2759	6200
308	2768	6191
309	2777	6181
310	2786	6173
311	2796	6166
312	2804	6155
313	2812	6143
314	2821	6134
315	2830	6125
316	2838	6115
317	2847	6107
318	2857	6100
319	2866	6090
320	2874	6080
321	2883	6070
322	2891	6060
323	2900	6050
324	2908	6041
325	2916	6029
326	2925	6020
327	2934	6011
328	2942	6000
329	2951	5991
330	2960	5983
331	2968	5972
332	2976	5961
333	2985	5953
334	2995	5946
335	3003	5935
336	3012	5927
337	3022	5919
338	3031	5910
339	3041	5904
340	3049	5893
341	3057	5883
342	3066	5873
343	3075	5865
344	3083	5854
345	3092	5844
346	3100	5835
347	3109	5825
348	3118	5816
349	3126	5806
350	3134	5795
351	3142	5785
352	3151	5776
353	3160	5766
354	3167	5755
355	3177	5747
356	3185	5737
357	3194	5729
358	3205	5722
359	3213	5713
360	3221	5702
361	3231	5694
362	3239	5685
363	3247	5674
364	3256	5664
365	3265	5656
366	3274	5647
367	3283	5638
368	3291	5628
369	3299	5618
370	3307	5608
371	3316	5598
372	3324	5588
373	3333	5578
374	3342	5570
375	3350	5560
376	3359	5551
377	3368	5542
378	3376	5532
379	3383	5521
380	3392	5511
381	3402	5503
382	3410	5494
383	3419	5484
384	3429	5477
385	3437	5468
386	3445	5457
387	3454	5448
388	3463	5439
389	3471	5429
390	3481	5422
391	3489	5412
392	3497	5401
393	3505	5391
394	3515	5383
395	3523	5374
396	3533	5367
397	3542	5358
398	3551	5349
399	3560	5340
400	3568	5330
401	3577	5322
402	3586	5313
403	3594	5303
404	3602	5293
405	3611	5284
406	3621	5276
407	3629	5266
408	3639	5259
409	3649	5251
410	3657	5241
411	3666	5232
412	3675	5223
413	3682	5212
414	3690	5202
415	3699	5193
416	3708	5185
417	3718	5177
418	3728	5170
419	3737	5161
420	3747	5154
421	3758	5147
422	3769	5141
423	3779	5133
424	3789	5127
425	3798	5118
426	3809	5112
427	3818	5103
428	3826	5093
429	3835	5083
430	3844	5076
431	3853	5066
432	3862	5057
433	3872	5049
434	3880	5040
435	3890	5032
436	3899	5023
437	3906	5012
438	3914	5002
439	3924	4994
440	3932	4984
441	3940	4974
442	3949	4965
443	3959	4958
444	3968	4949
445	3977	4940
446	3986	4931
447	3994	4921
448	4003	4912
449	4010	4902
450	4019	4892
451	4028	4883
452	4037	4875
453	4046	4866
454	4056	4858
455	4063	4848
456	4071	4837
457	4080	4829
458	4090	4821
459	4098	4811
460	4108	4803
461	4117	4794
462	4126	4785
463	4134	4776
464	4142	4766
465	4150	4756
466	4159	4747
467	4168	4738
468	4176	4728
469	4183	4717
470	4191	4707
471	4201	4700
472	4209	4689
473	4217	4680
474	4226	4671
475	4235	4662
476	4244	4654
477	4254	4645
478	4261	4635
479	4269	4625
480	4279	4617
481	4287	4607
482	4295	4597
483	4304	4589
484	4313	4580
485	4321	4570
486	4332	4563
487	4339	4553
488	4347	4543
489	4356	4534
490	4366	4526
491	4374	4516
492	4381	4506
493	4390	4497
494	4399	4488
495	4408	4479
496	4417	4470
497	4425	4460
498	4433	4451
499	4442	4442
500	4450	4432
501	4458	4422
502	4467	4414
503	4476	4405
504	4484	4395
505	4493	4387
506	4501	4377
507	4510	4368
508	4519	4359
509	4528	4351
510	4536	4341
511	4544	4331
512	4552	4322
513	4561	4312
514	4571	4304
515	4580	4296
516	4588	4286
517	4596	4277
518	4606	4269
519	4615	4260
520	4625	4252
521	4635	4244
522	4645	4237
523	4655	4228
524	4663	4219
525	4672	4210
526	4680	4201
527	4691	4194
528	4699	4184
529	4708	4175
530	4719	4168
531	4727	4159
532	4736	4150
533	4746	4142
534	4755	4133
535	4763	4123
536	4773	4115
537	4781	4105
538	4788	4095
539	4796	4086
540	4804	4076
541	4812	4066
542	4819	4056
543	4828	4047
544	4836	4037
545	4844	4027
546	4852	4018
547	4859	4008
548	4867	3998
549	4874	3988
550	4883	3979
551	4891	3969
552	4899	3959
553	4908	3951
554	4915	3941
555	4923	3931
556	4931	3921
557	4939	3912
558	4946	3902
559	4953	3892
560	4962	3883
561	4970	3873
562	4977	3863
563	4986	3854
564	4994	3845
565	5030	3857
566	5039	3848
567	5049	3840
568	5057	3831
569	5065	3821
570	5076	3813
571	5084	3804
572	5092	3795
573	5100	3785
574	5107	3775
575	5114	3765
576	5123	3755
577	5131	3746
578	5139	3737
579	5146	3726
580	5155	3717
581	5162	3708
582	5171	3698
583	5180	3690
584	5188	3680
585	5195	3670
586	5203	3660
587	5211	3651
588	5218	3641
589	5225	3631
590	5234	3622
591	5242	3613
592	5251	3604
593	5258	3594
594	5265	3584
595	5273	3574
596	5281	3565
597	5289	3555
598	5297	3546
599	5305	3537
600	5314	3528
601	5322	3518
602	5330	3509
603	5339	3500
604	5346	3490
605	5354	3481
606	5362	3471
607	5369	3462
608	5378	3453
609	5385	3443
610	5392	3433
611	5400	3423
612	5408	3414
613	5416	3405
614	5424	3395
615	5432	3386
616	5439	3376
617	5446	3366
618	5454	3357
619	5463	3348
620	5471	3339
621	5479	3329
622	5487	3320
623	5495	3311
624	5502	3301
625	5511	3293
626	5519	3283
627	5527	3274
628	5535	3265
629	5543	3255
630	5550	3246
631	5557	3236
632	5566	3227
633	5575	3218
634	5582	3208
635	5590	3199
636	5598	3190
637	5606	3181
638	5614	3172
639	5622	3162
640	5630	3153
641	5637	3143
642	5645	3134
643	5653	3125
644	5660	3115
645	5667	3105
646	5676	3096
647	5683	3087
648	5691	3078
649	5699	3069
650	5708	3060
651	5715	3050
652	5723	3041
653	5731	3032
654	5740	3023
655	5747	3013
656	5755	3004
657	5764	2996
658	5773	2987
659	5784	2979
660	5793	2971
661	5802	2962
662	5812	2954
663	5822	2946
664	5831	2937
665	5840	2929
666	5849	2920
667	5857	2911
668	5865	2902
669	5873	2893
670	5880	2883
671	5889	2874
672	5898	2865
673	5905	2856
674	5912	2846
675	5920	2837
676	5928	2828
677	5935	2819
678	5943	2809
679	5950	2800
680	5958	2791
681	5966	2781
682	5973	2772
683	5982	2763
684	5989	2754
685	5996	2744
686	6004	2735
687	6012	2726
688	6020	2717
689	6029	2708
690	6036	2699
691	6044	2690
692	6051	2680
693	6060	2672
694	6067	2662
695	6075	2653
696	6082	2644
697	6091	2635
698	6099	2626
699	6106	2617
700	6114	2607
701	6122	2598
702	6129	2589
703	6137	2580
704	6145	2571
705	6152	2561
706	6160	2552
707	6168	2543
708	6176	2535
709	6184	2525
710	6191	2516
711	6200	2508
712	6209	2499
713	6216	2490
714	6224	2481
715	6232	2472
716	6239	2462
717	6246	2453
718	6254	2444
719	6263	2435
720	6270	2426
721	6284	2419
722	6293	2411
723	6301	2402
724	6310	2393
725	6317	2384
726	6324	2375
727	6332	2365
728	6340	2357
729	6347	2347
730	6355	2338
731	6363	2329
732	6372	2321
733	6379	2312
734	6388	2303
735	6395	2294
736	6402	2284
737	6410	2275
738	6418	2266
739	6428	2258
740	6436	2249
741	6444	2240
742	6452	2231
743	6460	2223
744	6469	2214
745	6477	2205
746	6484	2196
747	6492	2187
748	6501	2178
749	6509	2169
750	6516	2160
751	6524	2151
752	6532	2142
753	6539	2133
754	6548	2125
755	6555	2115
756	6563	2106
757	6571	2097
758	6579	2089
759	6588	2080
760	6595	2071
761	6603	2062
762	6611	2053
763	6618	2044
764	6626	2035
765	6633	2026
766	6640	2017
767	6648	2008
768	6656	1999
769	6665	1990
770	6672	1981
771	6679	1972
772	6688	1964
773	6695	1954
774	6703	1946
775	6711	1937
776	6719	1928
777	6726	1919
778	6733	1910
779	6741	1901
780	6749	1892
781	6756	1883
782	6764	1874
783	6771	1865
784	6779	1856
785	6787	1848
786	6794	1838
787	6802	1830
788	6810	1821
789	6817	1812
790	6827	1803
791	6835	1795
792	6843	1786
793	6851	1777
794	6859	1768
795	6867	1759
796	6874	1750
797	6881	1741
798	6890	1733
799	6898	1724
800	6906	1715
801	6914	1706
802	6921	1697
803	6928	1688
804	6934	1679
805	6944	1671
806	6951	1662
807	6959	1653
808	6967	1645
809	6975	1636
810	6983	1627
811	6991	1618
812	7000	1610
813	7007	1601
814	7014	1592
815	7022	1583
816	7030	1574
817	7037	1565
818	7045	1557
819	7053	1548
820	7061	1539
821	7069	1530
822	7078	1522
823	7086	1513
824	7093	1504
825	7101	1495
826	7109	1487
827	7118	1478
828	7125	1469
829	7133	1461
830	7141	1452
831	7148	1443
832	7157	1434
833	7164	1426
834	7171	1417
835	7178	1408
836	7187	1399
837	7196	1391
838	7203	1382
839	7211	1373
840	7219	1365
841	7228	1356
842	7237	1347
843	7245	1339
844	7253	1330
845	7260	1321
846	7270	1313
847	7277	1304
848	7285	1295
849	7294	1287
850	7301	1278
851	7308	1269
852	7316	1260
853	7323	1252
854	7331	1243
855	7339	1234
856	7346	1225
857	7355	1217
858	7362	1208
859	7369	1199
860	7378	1191
861	7385	1182
862	7393	1173
863	7401	1165
864	7409	1156
865	7416	1147
866	7423	1138
867	7432	1130
868	7440	1121
869	7448	1113
870	7456	1104
871	7464	1095
872	7473	1087
873	7480	1078
874	7488	1069
875	7496	1061
876	7503	1052
877	7511	1043
878	7518	1035
879	7526	1026
880	7533	1017
881	7541	1008
882	7549	1000
883	7556	991
884	7564	983
885	7573	974
886	7580	965
887	7588	957
888	7597	948
889	7606	940
890	7614	931
891	7621	922
892	7630	914
893	7638	905
894	7645	896
895	7654	888
896	7661	879
897	7669	871
898	7678	862
899	7685	853
900	7692	845
901	7699	836
902	7707	827
903	7716	819
904	7723	810
905	7731	802
906	7740	793
907	7747	784
908	7755	776
909	7764	767
910	7772	759
911	7781	750
912	7789	742
913	7798	733
914	7808	725
915	7817	716
916	7827	708
917	7836	699
918	7846	691
919	7854	683
920	7863	674
921	7873	666
922	7883	657
923	7890	648
924	7898	640
925	7906	631
926	7913	623
927	7922	614
928	7930	606
929	7938	597
930	7946	588
931	7954	580
932	7963	571
933	7970	563
934	7978	554
935	7986	546
936	7992	537
937	8001	528
938	8009	520
939	8016	511
940	8024	503
941	8032	494
942	8040	486
943	8048	477
944	8055	468
945	8063	460
946	8071	451
947	8079	443
948	8088	434
949	8096	426
950	8103	417
951	8109	408
952	8118	400
953	8126	391
954	8133	383
955	8140	374
956	8148	366
957	8157	357
958	8164	349
959	8173	340
960	8181	332
961	8188	323
962	8197	314
963	8213	306
964	8221	298
965	8229	289
966	8237	281
967	8244	272
968	8252	263
969	8260	255
970	8267	246
971	8276	238
972	8284	229
973	8292	221
974	8299	212
975	8306	204
976	8314	195
977	8323	187
978	8331	178
979	8340	170
980	8347	161
981	8355	153
982	8364	144
983	8373	136
984	8380	127
985	8388	119
986	8397	110
987	8405	102
988	8412	93
989	8420	85
990	8429	76
991	8435	68
992	8444	59
993	8451	51
994	8459	42
995	8467	34
996	8474	25
997	8483	17
998	8491	8
999	8498	0
